candidate_id,galaxy_name,scene_mode,n_scene_epochs,scene_pre_flux,scene_post_flux,scene_pair_pre_flux_native,scene_pair_post_flux_native,scene_fade_fraction,scene_fade_sigma,scene_neighbor_median_fade,scene_neighbor_scatter,scene_unique_fade_sigma,scene_local_comparators,scene_monotonic_score,scene_residual_center,scene_residual_std
MESSIER_066_hst_12968_01_wfc3_uvis_f438w_ic0h01_hst_15654_22_wfc3_uvis_f438w_idxr22_0217,MESSIER 066,pair_proxy,2,29.0338520113778,12.535607258902429,29.0338520113778,12.535607258902429,0.5682416768539713,28.24718661464407,0.05412488013553285,0.002704672560316923,190.08467208252236,3,,2.356563952030261,0.07532352314145979
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0225,MESSIER 101,pair_proxy,2,47.41889859354063,11.191990722085016,47.41889859354063,11.191990722085016,0.7639761560465772,158.5906459059244,-0.025409512918426302,0.015813912345206016,49.91716481875566,2,,6.183837113921637,0.33814524103836585
MESSIER_066_hst_12968_01_wfc3_uvis_f814w_ic0h01_hst_15654_22_wfc3_uvis_f814w_idxr22_0091,MESSIER 066,pair_proxy,2,43.35504930330891,13.682793029391764,43.35504930330891,13.682793029391764,0.6844013961633881,18.11994526971244,0.00995091883080379,0.021951304619540535,30.724847065909895,4,,4.097253540089972,0.05223729711326131
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0449,MESSIER 101,pair_proxy,2,23.65535204504226,12.861120526161663,23.65535204504226,12.861120526161663,0.4563124445718353,27.620757331432586,0.035732157948633325,0.056786320862379946,7.406366185308368,2,,3.2431580553885158,0.19145964252865944
MESSIER_061_hst_skycell-p1458x13y04_acs_wfc_f814w_all_hst_12574_01_acs_wfc_f814w_jbs801_0033,MESSIER 061,pair_proxy,2,0.5881675227998735,-0.07304635485131872,0.5881675227998735,-0.07304635485131872,1.1241931116896657,2.8392607636780327,-0.389701894943456,0.3243367150151356,4.667664610719369,2,,0.12130667157155323,0.022046909663402375
MESSIER_077_hst_15151_04_wfc3_uvis_f555w_idm104_hst_17502_01_wfc3_uvis_f555w_ifab01_0138,MESSIER 077,pair_proxy,2,25456.938983339413,15388.94572187977,25456.938983339413,15388.94572187977,0.3954911180817441,14.931486518063005,0.021364475479525358,0.09319724581319278,4.014352992277571,7,,264.9764166174522,1.5631087832747976
NGC_5728_hst_15640_21_wfc3_ir_f160w_idxb21_hst_15640_2b_wfc3_ir_f160w_idxb2b_0137,NGC 5728,pair_proxy,2,571.1613723740793,339.37760653958196,571.1613723740793,339.37760653958196,0.4058113469247211,1.277776561164963,-0.753153467255192,0.33395450446359987,3.4704272548784774,17,,2.3628167999538476,2.187899168811049
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0008,MESSIER 101,pair_proxy,2,129.27137703426544,-0.18940804727286126,129.27137703426544,-0.18940804727286126,1.001465197104094,443.55437744261116,,,,0,,26.13704521665773,0.24865472030197663
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0003,MESSIER 101,all_epoch,56,8.904380868555898e-05,2.934947664356771e-08,478.8346872753098,0.06832064857291492,0.9996703928428398,244.7642305412777,,,,0,0.37254901960784315,170.91057796865465,0.2703562043780092
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,all_epoch,56,1.5758113899276757e-05,-5.506080281103786e-08,97.57299336314078,-0.6879989100415438,1.0034941239264406,71.29985937703499,,,,0,0.95,21.13279946299832,3.073431709586747
NGC_5861_hst_15145_78_wfc3_ir_f160w_idgg78_hst_16250_14_wfc3_ir_f160w_iebs14_0025,NGC 5861,all_epoch,56,1.3952016987468945e-05,-6.897955494980503e-08,80.5905659659777,-0.7971018813366184,1.0049440561183203,53.36207850314756,,,,0,0.961764705882353,17.22750894204831,4.056075975249611
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_1397,MESSIER 101,pair_proxy,2,11.020961457987125,3.5857793136600518,11.020961457987125,3.5857793136600518,0.674640064087933,52.07752793394385,,,,0,,1.675915421976124,0.14636473340031286
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_1314,MESSIER 101,pair_proxy,2,10.311375579303228,1.2754439293767441,10.311375579303228,1.2754439293767441,0.8763071018442207,36.152823990872804,0.10570047544495886,,,1,,1.7665496252055417,0.32936029024822355
MESSIER_077_hst_15151_04_wfc3_uvis_f814w_idm104_hst_17502_01_wfc3_uvis_f814w_ifab01_0257,MESSIER 077,pair_proxy,2,152.7864787503696,55.28206007506622,152.7864787503696,55.28206007506622,0.6381743952264984,23.545101157427375,0.01941704332095051,,,1,,13.306476966158488,0.6042612026046823
6dF_J0245599-073443_hst_11575_02_acs_wfc_f814w_jb4u02_hst_14226_01_acs_wfc_f814w_jcuc01_0061,6dF J0245599-073443,pair_proxy,2,31.333667721182312,12.777847986629451,31.333667721182312,12.777847986629451,0.5922006928671386,11.72542802024343,,,,0,,3.153642029904045,0.05567573960307854
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_1266,MESSIER 101,pair_proxy,2,2.804077988327693,-0.8658511030933695,2.804077988327693,-0.8658511030933695,1.308782817987794,9.797432215723855,,,,0,,0.5571853001110136,0.2189395784367729
6dF_J0245599-073443_hst_11575_02_acs_wfc_f814w_jb4u02_hst_14226_01_acs_wfc_f814w_jcuc01_0002,6dF J0245599-073443,pair_proxy,2,32.73191745192318,13.794525840515163,32.73191745192318,13.794525840515163,0.5785604109268381,6.784807006598324,,,,0,,3.1993269210339044,0.05854333851121177
MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_1482,MESSIER 101,pair_proxy,2,3.7110836518074155,1.5924576428300217,3.7110836518074155,1.5924576428300217,0.5708914720759678,6.71525559325892,,,,0,,0.2890199945918356,0.20224796271110745
